newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  10 1513.19 0.00000 2.16038e-14
  11 1513.19 0.00000 -3.13264e-14
  12 1513.19 0.00000 4.27985e-14
</Section>

newXOutput 39

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1552.58 0.00000 1.01117e-13
  2 1552.58 0.00000 8.81564e-14
  3 1552.58 0.00000 1.88591e-14
  4 1552.58 0.00000 1.53093e-14
  5 1552.58 0.00000 -1.01751e-13
  6 1552.58 0.00000 -7.33825e-14
  7 1552.58 0.00000 5.77925e-15
  8 1552.58 0.00000 5.88159e-14
  9 1552.58 0.00000 2.56027e-14
  10 1552.58 0.00000 4.56396e-14
  11 1552.58 0.00000 3.25156e-14
  12 1552.58 0.00000 2.48257e-13
</Section>

newXOutput 40

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1591.91 0.00000 1.44792e-13
  2 1591.91 0.00000 9.49068e-14
  3 1591.91 0.00000 -2.09843e-13
  4 1591.91 0.00000 -2.55485e-13
  5 1591.91 0.00000 2.15483e-13
  6 1591.91 0.00000 1.93230e-13
  7 1591.91 0.00000 1.61467e-13
  8 1591.91 0.00000 1.62283e-13
  9 1591.91 0.00000 -3.07925e-14
  10 1591.91 0.00000 -8.26792e-14
  11 1591.91 0.00000 5.80165e-14
  12 1591.91 0.00000 -2.13754e-13
</Section>

newXOutput 41

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1631.17 0.00000 1.29475e-13
  2 1631.17 0.00000 1.02697e-13
  3 1631.17 0.00000 -1.57019e-13
  4 1631.17 0.00000 -1.63714e-13
  5 1631.17 0.00000 5.57665e-14
  6 1631.17 0.00000 6.13453e-14
  7 1631.17 0.00000 -8.55083e-14
  8 1631.17 0.00000 -1.06482e-13
  9 1631.17 0.00000 -4.52234e-14
  10 1631.17 0.00000 -1.70908e-13
  11 1631.17 0.00000 1.57402e-13
  12 1631.17 0.00000 -6.82580e-14
</Section>

newXOutput 42

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1670.36 0.00000 1.26336e-13
  2 1670.36 0.00000 8.44818e-14
  3 1670.36 0.00000 -5.05874e-14
  4 1670.36 0.00000 -6.76424e-14
  5 1670.36 0.00000 2.02263e-13
  6 1670.36 0.00000 2.05229e-13
  7 1670.36 0.00000 1.37240e-13
  8 1670.36 0.00000 9.86446e-14
