newXOutput 1

<Section columns = "stress_xx | stress_yy | stress_xy">
  3 980.114 0.00000 -1.37251e-13
  4 980.114 0.00000 -1.61640e-13
  5 980.114 0.00000 5.00007e-14
  6 980.114 0.00000 3.08480e-14
  7 980.114 0.00000 -1.61661e-13
  8 980.114 0.00000 -1.55277e-13
  9 980.114 0.00000 6.58521e-14
  10 980.114 0.00000 6.62714e-14
  11 980.114 0.00000 1.28186e-13
  12 980.114 0.00000 -6.79018e-14
</Section>

newXOutput 41

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1005.50 0.00000 1.29673e-13
  2 1005.50 0.00000 8.84072e-14
  3 1005.50 0.00000 3.44782e-14
  4 1005.50 0.00000 8.45655e-15
  5 1005.50 0.00000 1.66023e-13
  6 1005.50 0.00000 1.46043e-13
  7 1005.50 0.00000 -3.97042e-14
  8 1005.50 0.00000 -4.13959e-14
  9 1005.50 0.00000 1.05596e-13
  10 1005.50 0.00000 1.95871e-13
  11 1005.50 0.00000 1.81309e-14
  12 1005.50 0.00000 2.99716e-14
</Section>

newXOutput 42

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1030.89 0.00000 9.07695e-14
  2 1030.89 0.00000 4.91076e-14
  3 1030.89 0.00000 -5.48228e-14
  4 1030.89 0.00000 -9.30603e-14
  5 1030.89 0.00000 -4.86150e-14
  6 1030.89 0.00000 -6.62245e-14
  7 1030.89 0.00000 9.07011e-14
  8 1030.89 0.00000 8.98124e-14
  9 1030.89 0.00000 2.59389e-13
  10 1030.89 0.00000 1.91422e-13
  11 1030.89 0.00000 1.03116e-14
  12 1030.89 0.00000 -7.66382e-14
</Section>

newXOutput 43

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1056.30 0.00000 2.91102e-14
  2 1056.30 0.00000 8.48909e-14
  3 1056.30 0.00000 -4.81074e-14
  4 1056.30 0.00000 -1.61776e-14
  5 1056.30 0.00000 5.34272e-14
  6 1056.30 0.00000 5.57487e-14
  7 1056.30 0.00000 -2.76004e-14
  8 1056.30 0.00000 -5.46063e-14
  9 1056.30 0.00000 1.83329e-15
  10 1056.30 0.00000 -7.62013e-15
  11 1056.30 0.00000 3.56422e-14
  12 1056.30 0.00000 1.29253e-14
</Section>

newXOutput 44

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1081.71 0.00000 7.96899e-14
  2 1081.71 0.00000 3.31254e-14
  3 1081.71 0.00000 3.89112e-14
  4 1081.71 0.00000 4.45311e-14
  5 1081.71 0.00000 3.38948e-14
  6 1081.71 0.00000 7.15496e-14
  7 1081.71 0.00000 -1.05017e-13
  8 1081.71 0.00000 -1.39266e-13
  9 1081.71 0.00000 1.82030e-13
  10 1081.71 0.00000 1.43532e-13
  11 1081.71 0.00000 -3.76496e-13
  12 1081.71 0.00000 -4.21848e-13
</Section>

newXOutput 45

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1107.15 0.00000 4.67737e-14
  2 1107.15 0.00000 -4.97940e-15
  3 1107.15 0.00000 -3.48867e-14
  4 1107.15 0.00000 -5.18326e-14
  5 1107.15 0.00000 -5.97534e-15
  6 1107.15 0.00000 4.29974e-14
  7 1107.15 0.00000 -5.37808e-14
  8 1107.15 0.00000 -4.86587e-14
  9 1107.15 0.00000 -3.16057e-13
  10 1107.15 0.00000 -1.90718e-13
  11 1107.15 0.00000 3.04006e-13
  12 1107.15 0.00000 3.52875e-13
</Section>

newXOutput 46

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1132.59 0.00000 8.44352e-15
  2 1132.59 0.00000 1.11514e-13
  3 1132.59 0.00000 -6.81078e-14
  4 1132.59 0.00000 2.75333e-15
  5 1132.59 0.00000 -3.76453e-14
  6 1132.59 0.00000 -4.32820e-14
  7 1132.59 0.00000 7.12758e-14
  8 1132.59 0.00000 3.25555e-14
  9 1132.59 0.00000 9.26651e-14
  10 1132.59 0.00000 -1.13414e-13
  11 1132.59 0.00000 -6.02084e-14
  12 1132.59 0.00000 -2.41220e-13
</Section>

newXOutput 47

<Section columns = "stress_xx | stress_yy | stress_xy">
  1 1158.05 0.00000 1.04798e-13
  2 1158.05 0.00000 9.18948e-14
  3 1158.05 0.00000 7.31577e-15
  4 1158.05 0.00000 2.02189e-14
  5 1158.05 0.00000 4.13988e-14
  6 1158.05 0.00000 8.08507e-14
  7 1158.05 0.00000 3.58298e-13
  8 1158.05 0.00000 3.63993e-13
  9 1158.05 0.00000 1.39353e-13
  10 1158.05 0.00000 3.28693e-13
  11 1158.05 0.00000 3.34482e-14
  12 1158.05 0.00000 1.96700e-13
</Section>

newXOutput 48

